day,fill_level,battery_level
114,26.56,99.6
115,4.32,98.96
116,13.28,99.34
117,23.67,98.84
118,31.24,98.29
119,46.54,97.97
120,57.02,97.47
121,66.75,97.99
122,4.56,97.54
123,15.24,97.37
124,27.21,97.45
125,43.3,97.54
126,59.65,97.86
127,66.55,97.64
128,74.23,97.38
129,1.97,96.82
130,11.19,96.51
131,21.68,96.43
132,32.32,96.02
133,39.33,96.03
134,45.25,95.54
135,54.15,95.58
136,4.5,95.41
137,14.61,95.13
138,24.97,94.48
139,35.34,94.62
140,50.16,94.26
141,60.84,94.76
142,69.72,94.19
143,3.86,93.6
144,10.1,93.66
145,18.35,93.85
146,26.55,94.39
147,36.39,94.37
148,46.26,93.79
149,55.28,93.57
150,4.25,93.15
151,10.36,92.96
152,19.72,92.53
153,32.44,91.9
154,42.08,91.45
155,50.64,91.08
156,57.67,90.66
157,1.59,90.95
158,9.22,91.21
159,17.32,91.6
160,26.6,91.67
161,42.69,91.66
162,51.49,92.08
163,57.32,91.48
164,4.32,91.49
165,11.85,91.22
166,18.52,91.21
167,30.25,91.33
168,43.4,90.99
169,53.05,90.42
170,63.7,89.73
171,2.58,89.54
172,13.12,89.58
173,21.21,89.64
174,28.77,89.86
175,36.54,89.21
176,45.07,89.24
177,54.79,89.37
178,2.99,89.42
179,11.01,89.56
180,18.18,89.04
181,26.31,88.96
182,36.96,88.65
183,44.17,88.47
184,56.13,88.18
185,1.63,88.29
186,12.83,87.9
187,23.71,88.27
188,37.51,87.84
189,53.31,87.57
190,59.81,87.89
191,66.88,87.93
192,0.94,87.82
193,10.95,87.13
194,21.38,87.34
195,33.7,87.71
196,49.17,88.19
197,58.61,88.04
198,69.85,87.57
199,2.54,87.84
200,12.53,87.29
201,19.35,87.4
202,31.11,87.38
203,38.92,87.32
204,50.23,87.46
205,61.52,87.52
206,1.25,87.16
207,12.48,86.49
208,18.7,86.52
209,35.25,85.95
210,51.35,86.29
211,57.61,86.28
212,68.24,85.84
213,2.27,85.93
214,11.74,86.29
215,20.83,85.68
216,35.76,85.31
217,46.76,85.27
218,52.01,84.69
219,61.48,85.0
220,2.45,85.51
221,14.13,84.96
222,23.46,85.26
223,30.92,84.68
224,44.29,84.98
225,55.57,84.32
226,64.89,83.69
227,0.49,83.4
228,8.71,82.79
229,15.53,82.64
230,24.72,82.64
231,39.7,82.92
232,47.29,83.01
233,55.42,82.66
234,1.67,81.98
235,11.94,81.81
236,21.68,82.11
237,36.95,81.61
238,51.18,81.79
239,57.76,81.41
240,69.0,81.45
241,4.18,81.01
242,13.34,81.31
243,20.93,80.73
244,31.49,80.12
245,39.59,79.71
246,49.98,79.34
247,58.26,79.21
248,4.95,78.59
249,10.72,78.73
250,19.99,78.35
251,28.37,78.74
252,42.54,78.76
253,51.25,78.21
254,59.07,77.77
255,4.05,77.55
256,11.75,77.56
257,18.21,77.12
258,31.83,77.01
259,45.66,76.95
260,51.18,76.64
261,60.04,76.64
262,2.75,75.97
263,9.0,75.93
264,19.94,75.43
265,30.53,75.54
266,44.69,74.97
267,55.25,74.37
268,64.02,74.41
269,4.04,74.06
270,10.25,73.4
271,15.65,73.09
272,28.27,73.33
273,40.27,72.64
274,48.89,72.76
275,58.77,72.73
276,3.14,73.2
277,13.48,72.6
278,24.99,72.2
279,33.58,72.26
280,47.84,72.44
281,59.28,72.1
282,70.06,71.48
283,2.66,71.13
284,9.25,70.72
285,14.64,70.02
286,22.51,69.91
287,34.81,70.59
288,44.84,70.07
289,55.5,69.48
290,4.33,68.84
291,12.67,68.29
292,21.53,67.75
293,30.44,67.32
294,38.08,67.37
295,48.12,66.95
296,54.49,66.95
297,3.57,66.44
298,13.07,66.42
299,23.84,66.0
300,36.74,66.1
301,45.0,66.49
302,55.45,66.67
303,66.07,67.0
304,2.54,67.2
305,12.28,67.28
306,19.1,66.66
307,26.88,66.63
308,37.29,66.16
309,43.88,66.33
310,53.56,66.12
311,1.73,65.8
312,7.7,65.24
313,14.88,64.58
314,23.12,64.68
315,35.0,64.25
316,43.32,64.88
317,55.1,64.41
318,4.71,64.64
319,9.89,64.34
320,18.46,63.89
321,33.64,64.14
322,49.44,63.51
323,59.32,63.33
324,65.58,62.87
325,4.62,62.37
326,10.25,61.85
327,18.24,61.63
328,32.38,61.71
329,49.06,61.25
330,59.82,60.94
331,67.64,60.9
332,3.18,60.24
333,14.55,60.7
334,24.45,60.09
335,32.0,59.46
336,39.87,59.63
337,50.61,59.12
338,59.84,59.68
339,0.25,59.63
340,9.54,59.45
341,18.65,58.84
342,26.72,58.2
343,40.22,57.64
344,48.04,57.28
345,58.37,57.17
346,2.97,56.66
347,9.91,56.05
348,20.85,55.99
349,32.32,55.45
350,45.12,55.81
351,56.03,55.24
352,63.26,55.71
353,2.17,55.36
354,10.74,54.77
355,20.21,54.14
356,30.99,54.03
357,47.75,54.2
358,54.58,54.07
359,62.06,53.61
360,4.91,52.94
361,10.14,52.52
362,21.5,52.14
363,32.13,51.64
364,47.56,51.18
365,53.47,50.81
366,63.07,50.34
1,4.22,49.83
2,15.56,49.36
3,25.25,48.86
4,39.61,48.39
5,51.58,48.51
6,61.83,47.94
7,72.52,47.6
8,0.55,47.83
9,5.75,47.67
10,15.62,47.04
11,24.57,46.42
12,39.85,46.31
13,44.91,45.84
14,54.19,46.11
15,3.84,45.43
16,10.86,44.83
17,21.04,44.59
18,35.91,45.05
19,43.86,44.57
20,55.26,44.67
21,63.89,44.24
22,4.68,43.57
23,14.16,44.07
24,21.02,43.63
25,29.53,43.13
26,43.51,42.78
27,52.75,42.41
28,61.51,41.83
29,2.36,41.84
30,10.21,41.41
31,19.07,41.67
32,30.5,41.77
33,41.84,42.12
34,48.04,42.05
35,54.37,41.49
36,0.22,41.73
37,8.65,41.34
38,17.67,41.47
39,30.71,40.89
40,41.02,41.03
41,52.48,40.33
42,60.67,40.24
43,4.02,39.57
44,10.21,39.22
45,21.29,39.47
46,37.15,38.86
47,44.17,38.27
48,51.39,38.22
49,61.03,37.71
50,2.92,38.16
51,8.24,37.57
52,16.0,36.91
53,31.7,36.5
54,48.03,35.93
55,57.74,35.66
56,64.87,35.06
57,3.5,34.7
58,14.12,34.77
59,21.92,34.78
60,32.25,34.42
61,44.72,34.09
62,50.98,33.85
63,59.85,33.39
64,3.77,33.63
65,12.4,33.25
66,17.71,32.68
67,25.44,32.27
68,32.79,31.77
69,39.05,32.24
70,49.93,31.81
71,0.74,32.04
72,8.66,32.08
73,15.96,31.43
74,28.77,31.63
75,45.43,31.26
76,55.45,31.43
77,62.2,31.0
78,1.16,30.67
79,7.96,30.48
80,18.22,30.17
81,29.2,29.82
82,45.68,29.57
83,52.08,29.71
84,60.58,29.97
85,2.21,30.57
86,10.15,30.06
87,15.26,29.98
88,24.1,29.35
89,34.13,28.7
90,39.23,28.19
91,44.94,27.62
92,0.04,27.27
93,8.26,26.96
94,19.47,26.68
95,31.23,26.73
96,39.21,26.71
97,45.01,26.82
98,51.89,26.36
99,3.56,26.38
100,13.85,25.95
101,20.58,25.41
102,30.15,25.28
103,45.58,24.64
104,52.71,24.08
105,61.65,24.15
106,2.73,23.58
107,10.91,23.08
108,20.93,22.41
109,33.48,22.06
110,41.75,22.48
111,48.73,22.14
112,60.7,21.45
113,4.23,22.09
114,16.07,22.42
115,27.68,22.75
116,35.05,22.21
117,50.79,22.2
118,59.03,22.56
119,68.73,22.65
120,4.88,22.29
121,12.39,22.37
122,17.82,22.19
123,32.74,22.33
124,46.54,22.6
125,56.3,22.01
126,67.3,22.41
127,2.78,22.5
128,9.69,22.5
129,20.24,23.15
130,35.04,22.7
131,49.28,23.15
132,59.24,23.07
133,67.03,22.76
134,2.95,23.32
135,10.7,23.44
136,19.84,22.8
137,30.44,22.48
138,38.62,22.78
139,45.73,22.21
140,51.61,22.26
141,1.56,22.13
142,10.04,21.76
143,20.67,21.72
144,32.48,21.63
145,47.29,21.94
146,59.07,21.79
147,70.9,22.25
148,1.75,22.72
149,10.84,22.94
150,20.39,23.17
151,28.42,23.49
152,41.84,23.39
153,48.77,22.83
154,56.63,22.22
155,2.57,22.62
156,8.7,21.99
157,19.4,21.99
158,26.93,21.55
159,35.98,21.54
160,46.11,20.88
161,52.18,20.5
162,1.53,20.19
163,10.59,20.38
164,20.42,20.01
165,33.18,19.5
166,43.97,19.69
167,53.35,19.56
168,60.8,19.85
169,3.62,20.42
170,11.3,20.74
171,23.14,20.89
172,31.44,20.54
173,44.51,20.27
174,55.2,20.5
175,62.01,19.87
176,3.47,19.36
177,13.92,18.93
178,23.24,18.43
179,30.81,18.24
180,46.6,17.71
181,53.5,17.04
182,59.06,16.73
183,2.49,16.88
184,8.72,16.55
185,14.43,16.28
186,27.26,16.36
187,37.5,16.42
188,44.49,15.73
189,50.97,16.25
190,0.84,16.33
191,10.51,16.01
192,16.65,16.34
193,29.78,15.87
194,40.35,15.4
195,48.17,14.91
196,54.84,14.4
197,2.46,14.43
198,10.11,14.45
199,17.97,14.34
200,32.12,13.76
201,42.34,13.2
202,47.73,13.19
203,56.19,12.98
204,3.27,13.42
205,12.85,13.09
206,18.15,12.49
207,34.8,12.44
208,44.35,12.6
209,54.25,12.16
210,61.4,12.18
211,3.93,12.14
212,11.67,11.99
213,21.2,12.19
214,31.46,11.89
215,40.73,11.97
216,52.54,11.89
217,59.2,11.74
218,4.95,12.03
219,10.47,12.08
220,17.98,12.45
221,32.69,12.12
222,47.22,12.54
223,56.31,12.5
224,62.97,12.24
225,2.56,12.01
226,8.39,11.97
227,16.19,11.5
228,29.69,11.47
229,39.1,11.84
230,50.11,11.84
231,55.55,12.16
232,3.09,12.3
233,11.11,12.31
234,21.53,12.36
235,32.82,12.66
236,45.53,12.73
237,53.86,12.05
238,62.0,11.7
239,3.83,11.8
240,15.29,11.17
241,27.05,11.29
242,42.64,11.37
243,54.24,10.9
244,63.14,10.81
245,69.38,11.06
246,3.78,11.53
247,12.75,11.46
248,20.77,10.87
249,32.56,10.28
250,45.63,10.1
251,55.74,9.63
252,65.86,9.78
253,3.31,9.62
254,8.73,9.26
255,20.05,9.85
256,32.75,10.13
257,40.85,9.46
258,48.7,9.88
259,56.64,9.38
260,0.0,8.84
261,10.26,8.63
262,16.72,8.35
263,26.5,7.95
264,38.08,7.32
265,49.83,7.24
266,56.67,7.54
267,1.45,7.88
268,7.67,8.4
269,15.7,8.03
270,28.31,7.48
271,40.42,7.24
272,46.6,6.91
273,55.8,6.39
274,2.67,6.07
275,9.62,5.45
276,17.85,5.12
277,29.94,4.95
278,45.44,4.49
279,54.14,4.95
280,64.09,4.87
281,1.06,4.46
282,10.91,3.82
283,22.68,4.18
284,39.03,4.2
285,49.95,4.62
286,57.53,4.11
287,62.87,4.13
288,4.82,3.79
289,13.12,3.41
290,20.51,3.11
291,36.63,2.64
292,44.14,2.68
293,52.91,2.24
294,61.87,2.07
295,1.15,1.47
296,6.15,0.92
297,11.41,0.69
298,23.95,0.34
299,40.04,0.0
300,48.07,0.0
301,58.78,0.42
302,1.49,0.05
303,10.04,0.0
304,17.73,0.66
305,31.9,0.3
306,45.68,0.41
307,51.71,0.51
308,59.94,0.19
309,1.92,0.0
310,12.82,0.19
311,18.83,0.0
312,35.36,0.0
313,48.03,0.0
314,53.88,0.0
315,60.47,0.6
316,4.59,0.11
317,14.64,0.0
318,21.04,0.0
319,34.14,0.0
320,49.06,0.0
321,55.9,0.0
322,66.19,0.0
323,0.72,0.0
324,10.43,0.0
325,21.98,0.0
326,36.12,0.0
327,46.37,0.0
328,51.51,0.0
329,62.15,0.0
330,3.52,0.0
331,13.96,0.0
332,19.11,0.0
333,35.65,0.02
334,51.07,0.14
335,58.47,0.05
336,64.57,0.0
337,1.14,0.49
338,8.51,0.04
339,14.83,0.23
340,28.49,0.0
341,39.02,0.0
342,45.92,0.0
343,55.25,0.0
344,3.43,0.0
345,12.22,0.07
346,17.39,0.44
347,33.29,0.91
348,45.57,0.28
349,51.92,0.0
350,61.0,0.0
351,4.78,0.0
352,12.78,0.0
353,24.49,0.0
354,33.89,0.16
355,43.12,0.48
356,54.0,0.48
357,62.62,0.0
358,0.41,0.0
359,10.25,0.0
360,19.63,0.0
361,31.78,0.0
362,41.37,0.0
363,52.94,0.0
364,62.16,0.0
365,0.65,0.15
1,8.02,0.4
2,13.67,0.0
3,24.02,0.0
4,34.22,0.0
5,44.09,0.0
6,55.79,0.1
7,2.48,0.15
8,14.31,0.28
9,24.69,0.0
10,33.76,0.0
11,48.5,0.36
12,58.15,0.0
13,64.31,0.0
14,2.39,0.0
15,12.77,0.0
16,20.94,0.3
17,29.93,0.48
18,43.56,0.09
19,49.96,0.0
20,56.82,0.0
21,1.93,0.0
22,9.27,0.0
23,18.07,0.0
24,32.3,0.26
25,39.49,0.75
26,45.97,0.1
27,51.86,0.0
28,0.21,0.0
29,10.23,0.37
30,19.1,0.0
31,32.33,0.0
32,40.63,0.0
33,52.59,0.0
34,60.66,0.0
35,4.33,0.0
36,14.68,0.41
37,20.68,0.04
38,36.57,0.0
39,48.62,0.06
40,60.02,0.0
41,67.71,0.27
42,4.48,0.0
43,11.52,0.17
44,21.56,0.26
45,34.46,0.39
46,50.89,0.83
47,61.57,0.53
48,68.47,0.0
49,1.36,0.0
50,8.42,0.0
51,15.6,0.0
52,26.88,0.0
53,43.22,0.0
54,51.79,0.0
55,58.11,0.0
56,3.94,0.04
57,14.25,0.04
58,25.06,0.0
59,41.07,0.0
60,53.91,0.0
61,62.41,0.27
62,69.83,0.0
63,4.82,0.0
64,14.8,0.0
65,25.48,0.0
66,35.09,0.43
67,50.08,0.25
68,58.23,0.0
69,64.08,0.0
70,4.76,0.11
71,16.47,0.0
72,23.7,0.0
73,39.29,0.13
74,49.13,0.0
75,55.03,0.0
76,61.91,0.0
77,1.97,0.02
78,9.42,0.19
79,15.23,0.0
80,29.89,0.21
81,43.25,0.0
82,54.61,0.0
83,66.02,0.0
84,3.43,0.0
85,11.35,0.0
86,19.0,0.0
87,31.98,0.0
88,47.48,0.0
89,59.29,0.24
90,70.98,0.0
91,4.09,0.24
92,11.85,0.0
93,16.89,0.0
94,32.15,0.0
95,41.81,0.0
96,53.0,0.0
97,63.65,0.0
98,3.13,0.08
99,10.01,0.0
100,17.52,0.0
101,24.63,0.25
102,33.32,0.55
103,44.58,0.0
104,54.36,0.0
105,2.24,0.0
106,12.74,0.0
107,23.23,0.0
108,35.51,0.12
109,43.78,0.0
110,53.61,0.0
111,58.68,0.0
112,1.3,0.0
